MatchId,BotType,Result,TimeMs,TotalClicks
1,RandomBot,DEFEAT,64,8
2,RandomBot,DEFEAT,0,8
3,RandomBot,DEFEAT,0,2
4,RandomBot,DEFEAT,0,6
5,RandomBot,DEFEAT,0,2
6,RandomBot,DEFEAT,0,3
7,RandomBot,DEFEAT,0,1
8,RandomBot,DEFEAT,0,2
9,RandomBot,DEFEAT,0,4
10,RandomBot,DEFEAT,0,1
11,RandomBot,DEFEAT,1,4
12,RandomBot,DEFEAT,0,7
13,RandomBot,DEFEAT,0,3
14,RandomBot,DEFEAT,0,5
15,RandomBot,DEFEAT,0,4
16,RandomBot,DEFEAT,0,5
17,RandomBot,DEFEAT,0,6
18,RandomBot,DEFEAT,0,3
19,RandomBot,DEFEAT,0,1
20,RandomBot,DEFEAT,0,3
21,RandomBot,DEFEAT,0,1
22,RandomBot,DEFEAT,0,5
23,RandomBot,DEFEAT,1,3
24,RandomBot,DEFEAT,0,4
25,RandomBot,DEFEAT,0,4
26,RandomBot,DEFEAT,0,5
27,RandomBot,DEFEAT,0,2
28,RandomBot,DEFEAT,0,1
29,RandomBot,DEFEAT,0,4
30,RandomBot,DEFEAT,0,8
31,RandomBot,DEFEAT,0,3
32,RandomBot,DEFEAT,0,5
33,RandomBot,DEFEAT,0,8
34,RandomBot,DEFEAT,0,3
35,RandomBot,DEFEAT,0,2
36,RandomBot,DEFEAT,0,5
37,RandomBot,DEFEAT,0,1
38,RandomBot,DEFEAT,0,8
39,RandomBot,DEFEAT,0,1
40,RandomBot,DEFEAT,0,2
41,RandomBot,DEFEAT,0,1
42,RandomBot,DEFEAT,0,1
43,RandomBot,DEFEAT,0,9
44,RandomBot,DEFEAT,0,3
45,RandomBot,DEFEAT,0,4
46,RandomBot,DEFEAT,0,1
47,RandomBot,DEFEAT,0,5
48,RandomBot,DEFEAT,0,14
49,RandomBot,DEFEAT,0,1
50,RandomBot,DEFEAT,0,3
51,RandomBot,DEFEAT,0,3
52,RandomBot,DEFEAT,0,1
53,RandomBot,DEFEAT,0,3
54,RandomBot,DEFEAT,0,4
55,RandomBot,VICTORY,0,3
56,RandomBot,DEFEAT,0,3
57,RandomBot,DEFEAT,0,2
58,RandomBot,DEFEAT,0,2
59,RandomBot,DEFEAT,0,6
60,RandomBot,DEFEAT,0,3
61,RandomBot,DEFEAT,0,1
62,RandomBot,DEFEAT,0,5
63,RandomBot,DEFEAT,0,3
64,RandomBot,DEFEAT,0,7
65,RandomBot,DEFEAT,0,3
66,RandomBot,DEFEAT,0,5
67,RandomBot,DEFEAT,0,2
68,RandomBot,DEFEAT,0,2
69,RandomBot,DEFEAT,0,3
70,RandomBot,DEFEAT,0,2
71,RandomBot,DEFEAT,0,3
72,RandomBot,DEFEAT,0,3
73,RandomBot,DEFEAT,0,2
74,RandomBot,DEFEAT,0,6
75,RandomBot,DEFEAT,0,2
76,RandomBot,DEFEAT,0,3
